INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat
1650,GB,3274,"Milfor Haven, Saint Ann’s Head to Newton Noyes Pier",51.6611666667,51.7321666667,5.1861666667,5.0016666667,87/13,12500,**
1651,GB,3275,Milford Haven,51.6711666667,51.7421666667,5.0395,4.8623333333,88/13,12500,**
1651PlanA,GB,3275,Plan A - Pembroke Reach,51.6948333333,51.7055,4.969,4.9406666667,88/13,5000,**
1651PlanB,GB,3275,Plan B – Continuation of River Cleddau,51.737,51.7688333333,4.9178333333,4.881,88/13,12500,**
1651PlanC,GB,3275,Plan C – Continuation of River Cleddau,51.7586666667,51.8071666667,4.9745,4.8045,88/13,50000,**
1651PlanD,GB,3275,Plan D - Carew River,51.6896666667,51.7338333333,4.8895,4.8176666667,88/13,50000,**
1652,GB,1161,Swansea Bay,51.4898333333,51.6338333333,4.0513333333,3.684,94/01,25000,**
1652PlanA,GB,1161,Plan A – River Neath,51.617,51.6531666667,3.8513333333,3.8205,94/01,12500,**
1653,GB,1182,Barry and Cardiff Roads with Approaches,51.332,51.4866666667,3.3096666667,3.0836666667,86/12,25000,**
1653PlanA,GB,1182,Plan A - Barry Docks,51.3746666667,51.4061666667,3.2921666667,3.2345,86/12,12500,**
1653PlanB,GB,1182,Plan B - Cardiff Docks,51.4328333333,51.4705,3.1993333333,3.1348333333,86/12,15000,**
1654,GB,1176,Severn Estuary Steep Holm to Avonmouth,51.3336666667,51.5603333333,3.2146666667,2.6521666667,83/13,40000,**
1654PlanA,GB,1176,Plan A - Newport,51.5236666667,51.5913333333,3.0013333333,2.9586666667,83/13,20000,**
1655,GB,1859,Port of Bristol,,,,,84/13,,**
1655PlanA,GB,1859,Plan A – King Road,51.486,51.5305,2.7855,2.6905,84/13,10000,**
1655PlanB,GB,1859,Plan B – River Avon,51.4478333333,51.4921666667,2.713,2.618,84/13,10000,**
1655PlanC,GB,1859,Plan C - City Docks,51.445,51.454,2.6271666667,2.5905,84/13,5000,**
1655PlanD,GB,1859,Plan D – City Docks to Saint Anne’s Bridge,51.437,51.4621666667,2.594,2.5463333333,84/13,25000,**
1658,GB,2510,Approaches to Londonderry,,,,,05/,Various,
1658PlanA,GB,2510,"Plan A – Moville to Lisahally terminal, Northern Part",55.105,55.1926666667,7.2143333333,7.0088333333,05/,15000,**
1658PlanB,GB,2510,"Plan B – Moville to Lisahally Terminal, Southern Part",55.0316666667,55.1193333333,7.275,7.1838333333,05/,15000,**
1658PlanC,GB,2510,Plan C – Lisahally Terminal,55.035,55.0533333333,7.275,7.2386666667,05/,7500,**
1658PlanD,GB,2510,Plan D – Lisahally Terminal to Londonderry,54.9883333333,55.05,7.3241666667,7.2511666667,05/,15000,**
1659,GB,2511,Approaches to Lough Foyle,55.1383333333,55.2843333333,7.1466666667,6.7153333333,05/13,25000,**
1659PlanA,GB,2511,Plan A - Lough Foyle,55.0383333333,55.205,7.265,6.9355,05/13,50000,**
1661,GB,1753,Belfast Lough and approaches,54.5916666667,54.8108333333,6.0161666667,5.4241666667,86/12,37500,**
1661PlanA,GB,1753,Plan A – Donaghadee Sound,54.6376666667,54.6748333333,5.5766666667,5.501,86/12,15000,**
1661PlanB,GB,1753,Plan B - Bangor Bay,54.66,54.6856666667,5.6853333333,5.6293333333,86/12,17500,**
1662,GB,1431,Drogheda and Dundalk,,,,,88/11,Various,**
1662PlanA,GB,1431,Plan A – Approaches to the River Boyne,53.6736666667,53.8066666667,6.2851666667,6.1166666667,88/11,20000,**
1662PlanB,GB,1431,Plan B – River Boyne to Drogheda,53.7125,53.7333333333,6.35,6.225,88/11,30000,**
1662PlanC,GB,1431,Plan C – Dundalk and approaches,53.9416666667,54.0166666667,6.4016666667,6.2323333333,88/11,7500,**
1663,GB,1415,Dublin Bay,53.2638333333,53.41,6.2666666667,5.9,88/12,25000,**
1663PlanA,GB,1415,Plan A - Howth,53.3865,53.3975,6.075,6.0575,88/12,7500,**
1664,GB,1752,"Northern Ireland – East Coast, Approaches to Belfast",54.6388333333,54.7265,5.9731666667,5.7361666667,04/12,15000,**
1664PlanA,GB,1752,Plan A – Belfast Docks,54.5983333333,54.6516666667,5.9216666667,5.8471666667,04/12,12500,**
1670,GB,1777,"Port of Cork, Lower Harbour and approaches",51.7471666667,51.8596666667,8.3408333333,#WERT!,93/05,12500,**
1671,GB,1773,"Port of Cork, Upper Harbour",,,,,93/05,,
1671PartA,GB,1773,Part A – Upper Harbour West,51.8336666667,52.9068333333,8.4941666667,8.3163333333,93/05,12500,**
1671PartB,GB,1773,Part B – Upper Harbour East,51.8336666667,51.8915,8.2675,8.1768333333,93/05,12500,**
